CLUSTER	TAXA
60	HS1364
51	HS1411
202	HS1391
91	HS1340
218	HS1405
245	HS1518
199	MH8922
219	MH7842
24	MH7885
154	MH8766
8	HS1461
184	MH8393
242	MH8424
242	HS1510
155	MH7799
155	HS1385
11	HS1537
137	MH8442
34	HS1567
57	MH7755
246	MH7564
54	MH7891
121	MH9045
115	MH8186
117	HS1341
242	MH8354
174	MH8158
246	MH7851
245	HS1520
246	MH7804
0	HS1294
283	HS1473
242	HS1500
0	MH7385
23	HS1325
87	HS1487
24	MH7884
98	HS1460
52	HS1536
245	MH8443
246	MH7565
330	MH8688
189	HS1342
246	HS1313
285	MH8690
219	MH7843
244	HS1335
246	HS1387
203	MH7687
246	HS1392
100	HS1595
240	MH7844
88	HS1255
51	MH7887
174	HS1463
52	HS1535
245	MH8444
218	MH7860
33	MH8089
23	MH7455
203	HS1402
203	MH7855
246	HS1328
91	MH7492
174	HS1465
98	MH8160
87	MH8308
201	MH8714
32	MH7440
189	HS1388
283	MH8396
285	HS1562
194	MH8592
245	MH8445
165	MH8451
24	MH7886
203	HS1401
117	HS1375
159	MH8177
141	MH8309
60	HS1381
174	MH8041
100	HS1597
93	MH8765
244	HS1336
11	MH8390
0	HS1253
32	HS1273
158	HS1543
285	HS1563
93	HS1573
159	MH8183
244	MH7611
11	HS1509
24	HS1409
141	HS1514
60	MH7800
203	HS1351
283	MH8185
285	MH8691
88	MH7389
33	MH8088
219	HS1394
88	MH7505
330	MH8689
285	MH8391
0	HS1250
11	HS1345
98	HS1427
53	HS1448
285	HS1564
200	MH8386
246	MH7520
200	HS1507
244	MH7612
24	HS1408
137	HS1517
189	MH7797
194	HS1531
121	HS1604
321	MH8165
240	HS1393
202	HS1390
285	MH8392
54	HS1417
321	MH8589
54	MH8126
283	MH8090
34	MH8700
184	MH8178
100	MH8925
199	HS1596
154	HS1579
202	MH7852
165	HS1525
158	MH8594
158	HS1516
98	MH7953
282	HS1451
174	HS1434
32	HS1256
201	HS1554
283	HS1445
285	HS1505
91	MH7627
53	MH8125
282	MH8129
57	HS1376
245	HS1519
52	MH8611
11	MH7890
8	MH8155
115	HS1474
246	HS1327
100	MH8924
158	MH8439
283	HS1413
23	HS1284
34	HS1566
11	HS1416
