CLUSTER	TAXA
98	HS1401
89	HS1313
123	MH8690
83	MH8159
56	MH8309
90	HS1518
9	HS1417
56	HS1450
123	MH8688
87	HS1335
58	MH8126
9	MH7905
61	MH8160
8	MH8692
64	HS1543
8	MH8089
84	HS1463
121	MH8090
9	MH7885
31	MH8700
87	HS1336
20	HS1535
83	HS1506
72	HS1385
102	MH7842
102	MH7860
6	HS1537
9	HS1409
13	MH7755
89	MH7564
58	MH7891
61	MH7953
84	MH8041
102	MH7843
98	HS1390
90	HS1520
89	MH7851
64	HS1516
9	HS1256
121	HS1445
87	HS1369
8	MH8088
102	HS1394
9	HS1421
96	MH8766
121	HS1473
84	HS1465
6	HS1345
13	HS1376
90	HS1519
9	HS1325
123	HS1564
9	MH7884
123	HS1563
89	HS1327
64	HS1544
90	MH8444
61	HS1460
84	HS1434
98	MH7687
20	HS1536
9	HS1408
96	HS1579
72	HS1349
31	HS1566
9	MH7886
