CLUSTER	TAXA
167	360_N34
380	831_N81
111	404_N37
121	691_N66
374	903_N89
366	939_N92
380	101_N9
172	250_N22
52	728_N70
48	450_N42
327	755_N72
117	790_N76
93	543_N50
175	976_N95
180	812_N80
220	364_N34
1	740_N70
112	411_N37
111	409_N37
59	960_N94
290	1035_N100
167	365_N34
75	410_N37
140	559_N52
338	48_N4
253	75_N7
21	858_N85
171	339_N31
92	536_N50
124	969_N95
308	187_N16
184	630_N60
1	739_N70
93	580_N54
93	581_N54
92	58_N5
46	775_N74
188	859_N85
112	569_N53
48	453_N42
72	576_N54
21	860_N85
193	556_N52
124	473_N43
72	742_N70
124	466_N43
230	973_N95
171	335_N31
112	407_N37
140	593_N56
59	966_N94
72	582_N54
48	731_N70
112	401_N37
396	373_N35
52	733_N70
118	894_N88
67	560_N52
124	465_N43
124	469_N43
396	374_N35
172	872_N86
376	901_N89
184	164_N14
111	402_N37
338	44_N4
17	223_N20
220	369_N34
286	523_N49
41	562_N52
75	591_N56
180	813_N80
308	188_N16
117	481_N44
75	590_N56
308	194_N16
1	738_N70
117	795_N76
374	911_N89
230	112_N9
118	477_N44
80	588_N55
380	869_N86
290	1031_N100
193	563_N52
376	74_N6
41	555_N52
286	530_N49
188	863_N85
46	772_N74
366	944_N92
80	585_N55
172	336_N31
118	890_N88
21	482_N44
294	908_N89
294	679_N65
59	964_N94
230	103_N9
121	695_N66
67	558_N52
140	589_N56
17	224_N20
172	865_N86
41	557_N52
376	910_N89
398	913_N90
398	912_N90
59	961_N94
253	83_N7
1	730_N70
180	819_N80
175	968_N95
1	732_N70
327	757_N72
72	573_N53
93	540_N50
