CLUSTER	TAXA
202	NCH183_MH885763_1a
220	MAH39_KY928349_1a
13	MAH99_MH885703_1a
204	MAH68_MH885672_1a
6	NCH176_MH885756_1a
204	MAH100_MH885704_1a
13	MAH38_KY928348_1a
204	MAH96_MH885700_1a
165	MAH60_MH885664_1a
204	MAH91_MH885695_1a
165	MAH53_MH885657_1a
165	MAH01_KY928311_1a
13	MAH98_MH885702_1a
200	MAH05_KY928315_1a
13	MAH95_MH885699_1a
13	MAH42_KY928352_1a
220	MAH26_KY928336_1a
173	NCH148_MH885729_1a
202	NCH168_MH885748_1a
6	NCH107_KY928366_1a
220	MAH73_MH885677_1a
13	MAH44_KY928354_1a
13	MAH54_MH885658_1a
220	MAH71_MH885675_1a
96	MAH28_KY928338_1a
13	MAH61_MH885665_1a
13	MAH67_MH885671_1a
13	MAH43_KY928353_1a
6	NCH175_MH885755_1a
204	MAH57_MH885661_1a
150	AF009606_1a
204	MAH70_MH885674_1a
170	NCH142_MH885723_1a
102	MAH20_KY928330_1a
13	MAH56_MH885660_1a
120	NCH111_KY928370_1a
13	MAH52_MH885656_1a
204	MAH33_KY928343_1a
13	MAH35_KY928345_1a
102	MAH97_MH885701_1a
204	MAH12_KY928322_1a
161	NCH144_MH885725_1a
6	NCH162_MH885742_1a
13	MAH46_KY928356_1a
170	NCH167_MH885747_1a
220	MAH23_KY928333_1a
204	MAH93_MH885697_1a
13	MAH45_KY928355_1a
77	NCH171_MH885751_1a
96	MAH25_KY928335_1a
13	MAH64_MH885668_1a
161	NCH151_MH885732_1a
142	MAH116_MH885711_1a
204	MAH103_MH885706_1a
165	MAH04_KY928314_1a
204	MAH36_KY928346_1a
150	M67463_1a
165	MAH15_KY928325_1a
120	NCH149_MH885730_1a
204	MAH51_MH885655_1a
13	MAH65_MH885669_1a
65	NCH146_MH885727_1a
65	NCH124_KY928383_1a
200	MAH03_KY928313_1a
77	NCH172_MH885752_1a
220	MAH19_KY928329_1a
142	MAH34_KY928344_1a
165	MAH40_KY928350_1a
204	MAH47_KY928357_1a
204	MAH94_MH885698_1a
13	MAH89_MH885693_1a
165	MAH14_KY928324_1a
173	NCH164_MH885744_1a
